,Feature,Car 1,Car 2,Status
0,Molduras de tubo de escape en cromado negro,N/A,Sólo en paquete,Different
1,Paquete de fumadores,N/A,62 €,Different
2,Climatizador de 4 zonas,N/A,861 €,Different
3,Retrovisores exteriores plegables eléctricamente,De serie,N/A,Different
4,Interfaz Bluetooth,N/A,De serie,Different
5,Molduras de entrada con anagrama M iluminado delante y detrás,N/A,De serie,Different
6,IVA,21 %,21 %,Same
7,Precio (con descuento y equipamiento seleccionado)80.500 €,Coste opciones seleccionadas: 0 €,N/A,Different
8,Volante M de cuero,N/A,De serie,Different
9,Enganche de remolque eléctrico,N/A,1.477 €,Different
10,Descuento oficial,0 €,0 €,Same
11,Material del bloque,Aluminio,Aluminio,Same
12,Apagado y encendido de faros temporizado,De serie,N/A,Different
13,Asistente de estacionamiento automático,Sólo en paquete,N/A,Different
14,Peso,1.870 kg,2.335 kg,Different
15,price,80.500,Precio,Different
16,Ayuda de aparcamiento lateral,Sólo en paquete,De serie,Different
17,Pintura metalizada,1.339 €,1.292 €,Different
18,Retrovisores exteriores con plegado eléctrico,N/A,De serie,Different
19,Relación de compresión,"10,2 a 1",16 a 1,Different
20,Ángulo ventral,N/A,"17,9 grados",Different
21,Control de presión de neumáticos (con indicación para cada neumático),N/A,De serie,Different
22,"Automatismo de parada y arranque del motor (""Stop/Start"")",Sí,Sí,Same
23,Llantas delanteras,7.5 x 18,9.5 x 21,Different
24,Revestimiento interior M Aluminium Rhombicle,De serie,N/A,Different
25,Preparación para Apple CarPlay,N/A,De serie,Different
26,Apple CarPlay y Android Auto sin cable,De serie,N/A,Different
27,Lunas tintadas,De serie,N/A,Different
28,Reposapiés del conductor y pedales M,De serie,N/A,Different
29,Función Auto Start Stop,N/A,De serie,Different
30,Alfombrillas de velours,De serie,N/A,Different
31,Molduras interiores BMW Individual pintura piano negra,N/A,790 €,Different
32,Tapicería Individual de cuero Merino ampliado,3.200 €,N/A,Different
33,"Sonido surround Harman Kardon (464 W, 9 canales, 16 altavoces)",N/A,615 €,Different
34,Sintonizador de TV Plus,N/A,1.477 €,Different
35,Alfombrillas de velours delante y detrás,N/A,De serie,Different
36,Conexiones 4G LTE (tarjeta SIM integrada),N/A,De serie,Different
37,Número de velocidades,8,8,Same
38,Altura de vadeo,N/A,500 mm,Different
39,Tablero de instrumentos BMW Individual revestido de cuero,N/A,1.431 €,Different
40,Red de sujeción en maletero,De serie,N/A,Different
41,Pintura Individual,6.270 €,N/A,Different
42,Servicios conectados,De serie,N/A,Different
43,Cámara Surround View y Remote 3D View (Parking Assistant Plus),N/A,1.538 €,Different
44,2 tomas de 12 V en consola central (delante y detrás) y 1 en maletero,N/A,De serie,Different
45,Maletero con iluminación,De serie,De serie,Same
46,Asistente de parada de emergencia,Sólo en paquete,N/A,Different
47,Retrovisores exteriores orientables eléctricamente,De serie,N/A,Different
48,consumo,"8,1","8,3",Different
49,Ganchos para bolsas y 4 argollas de amarre en maletero,N/A,De serie,Different
50,Número de cilindros,6,6,Same
51,Estructura suspensión trasera,Paralelogramo deformable,Paralelogramo deformable,Same
52,Ordenador de viaje,De serie,De serie,Same
53,Freno deportivo M,N/A,De serie,Different
54,Retrovisor exterior del lado de conductor con función antideslumbramiento,N/A,De serie,Different
55,Cierre automático Softclosen para las puertas,N/A,800 €,Different
56,Airbags de cabeza delanteros y traseros,De serie,De serie,Same
